Country Name,Country Code,Series Name,Series Code,year,value,unit
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2024,NA,annual % growth
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2018,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2019,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2020,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2021,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2022,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2023,NA,current US$
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2024,NA,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2018,482833320.042869,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2019,498263992.940825,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2020,527512991.719678,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2021,386856048.870212,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2022,NA,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2023,NA,current US$
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2024,NA,current US$
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2018,310107,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2019,251047,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2020,238791,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2021,262860,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2022,294493,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2023,296033,NA
Afghanistan,AFG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,2024,NA,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2018,281,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2019,247,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2020,167,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2021,251,NA
